,Unnamed: 0,date,title,cleaned title
144,144,2021-12-01,Aturan Naik Angkutan Umum di Jakarta selama PPKM Level 2,atur naik angkut umum di jakarta lama ppkm level
145,145,2021-12-01,5 Langkah Penting untuk Bangun Kebiasaan Hidup yang Baik,langkah penting untuk bangun biasa hidup yang baik
146,146,2021-12-01,Jeritan PKL Menyikapi Rencana Relokasi Mereka dari Kawasan Malioboro,jerit pkl sikap rencana relokasi mereka dari kawasan malioboro
147,147,2021-12-01,"Pimpinan MPR Usul Sri Mulyani Dicopot, Mensesneg: Itu Urusan Presiden",pimpin mpr usul sri mulyani copot mensesneg itu urus presiden
148,148,2021-12-01,Bakal Ada 33.000 Lapangan Kerja Baru Berkat Indonesia Jadi Presidensi G20,bakal ada lapang kerja baru berkat indonesia jadi presidensi g
149,149,2021-12-01,"BMKG Ingatkan Potensi Tsunami 8 Meter di Cilegon, Pemkot Siapkan Jalur Evakuasi Warga",bmkg ingat potensi tsunami meter di cilegon pemkot siap jalur evakuasi warga
150,150,2021-12-01,"Waspada Siklon Tropis Teratai, BMKG Ingatkan Potensi Hujan Lebat serta Angin Kencang di 5 Daerah Ini",waspada siklon tropis teratai bmkg ingat potensi hujan lebat serta angin kencang di daerah ini
151,151,2021-12-01,"Jadwal Padat Selama 2022, BTS Batal Tampil di Batam",jadwal padat lama bts batal tampil di batam
152,152,2021-12-01,Apa Pentingnya Senjata Hipersonik?,apa penting senjata hipersonik
153,153,2021-12-01,"Bicarakan Album Peaches, Kai EXO: Saya Ingin Menunjukkan Sisi Baru",bicara album peaches kai exo saya ingin tunjuk sisi baru
154,154,2021-12-01,UPN Veteran Jakarta Selalu Terbuka Informasikan Meninggalnya Mahasiswa,upn veteran jakarta selalu buka informasi tinggal mahasiswa
155,155,2021-12-01,"Menhub Resmi Perkenalkan I-Motion, Apa Itu?",menhub resmi kenal imotion apa itu
156,156,2021-12-01,Bedanya Ruang Tamu dan Ruang Keluarga,beda ruang tamu dan ruang keluarga
157,157,2021-12-01,"Petani di Bandung Makin Canggih, Dikenalkan Teknologi ""Drone"" untuk Pemupukan",tani di bandung makin canggih kenal teknologi drone untuk pupu
158,158,2021-12-01,BPBD Kotabaru Kalsel Bantah Kabar Ada Korban Tewas akibat Tanah Bergerak,bpbd kotabaru kalsel bantah kabar ada korban tewas akibat tanah gerak
159,159,2021-12-01,"Nia Ramadhani dan Ardi Bakrie Jalani Sidang Perdana Kasus Narkoba Besok, Begini Respons Kuasa Hukum",nia ramadhani dan ardi bakrie jalan sidang perdana kasus narkoba besok begini respons kuasa hukum
160,160,2021-12-01,Mahasiswa UGM Teliti Ubur-ubur sebagai Penghambat Kanker Payudara,mahasiswa ugm teliti uburubur bagai hambat kanker payudara
161,161,2021-12-01,Contoh-contoh Energi Alternatif Terbarukan,contohcontoh energi alternatif baru
162,162,2021-12-01,"Ditahan Lagi, Ini Perjalanan Kasus Jerinx SID vs Adam Deni",tahan lagi ini jalan kasus jerinx sid vs adam den
163,163,2021-12-01,Lirik dan Chord Lagu Seventeen Going Under - Sam Fender,lirik dan chord lagu seventeen going under sam fender
164,164,2021-12-01,"Kebal Krisis, Properti Syariah Tumbuh Eksponensial Selama Pandemi",kebal krisis properti syariah tumbuh eksponensial lama pandemi
165,165,2021-12-01,INFOGRAFIK: Aturan Perjalanan Darat Selama Libur Natal dan Tahun Baru 2022,infografik atur jalan darat lama libur natal dan tahun baru
166,166,2021-12-01,"Stok Kondom KPA Pangkalpinang Menipis, Padahal Dibutuhkan Penyintas HIV/AIDS",stok kondom kpa pangkalpinang tip padahal butuh sintas hivaids
167,167,2021-12-01, Menhub Ajak Milenial Jadi Pelopor Gerakan Sadar Keselamatan Berlalu Lintas,menhub ajak milenial jadi pelopor gera sadar selamat lalu lintas
168,168,2021-12-01,"BWF World Tour Finals: Kalah Start dan Buru-buru, Faktor Kekalahan Pramudya/Yeremia",bwf world tour finals kalah start dan buruburu faktor kalah pramudyayeremia
169,169,2021-12-01,Mau Sukses di Piala AFF 2020? Ikuti Aturan Ini,mau sukses di piala aff ikut atur ini
170,170,2021-12-01,"Wapres Ma'ruf Sebut Investasi Singapura Periode Januari-September Capai 7,3 Miliar Dolar AS",wapres maruf sebut investasi singapura periode januariseptember capai miliar dolar as
171,171,2021-12-01,"PMI Manufaktur RI 53,9, Kemenkeu: Langkah Pengendalian Pandemi Membuahkan Hasil",pmi manufaktur ri kemenkeu langkah kendali pandemi buah hasil
172,172,2021-12-01,UPN Veteran Jakarta: Tak Ada Tanda Kekerasan Jasad Mahasiswi yang Meninggal Saat Diklat Menwa,upn veteran jakarta tak ada tanda keras jasad mahasiswi yang tinggal saat diklat menwa
173,173,2021-12-01,Lirik dan Chord Lagu Rescue Me - Marshmello,lirik dan chord lagu rescue me marshmello
174,174,2021-12-01,"Dicoret DPRD, Anggaran Sumur Resapan Bisa untuk Tambal Gaji PJLP",coret dprd anggar sumur resap bisa untuk tambal gaji pjlp
